City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Fredericksburg,US,38.3032,-77.4605,93.43,57,40,14.97,scattered clouds
80,Shakiso,ET,5.75,38.9167,58.14,79,95,2.75,overcast clouds
81,Sal Rei,CV,16.1833,-22.9167,74.79,83,11,7.87,few clouds
82,Airai,TL,-8.9266,125.4092,51.58,81,59,2.84,broken clouds
83,Kurilsk,RU,45.2333,147.8833,59.99,96,90,0.36,overcast clouds
84,Buraydah,SA,26.326,43.975,90.05,12,99,8.86,overcast clouds
85,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,1.14,broken clouds
86,Charlestown,AU,-32.95,151.6667,48.85,93,100,1.99,overcast clouds
87,Ahipara,NZ,-35.1667,173.1667,59.02,83,96,11.21,overcast clouds
88,Sakakah,SA,29.9697,40.2064,90.97,19,98,9.1,overcast clouds
89,East London,ZA,-33.0153,27.9116,58.91,72,0,8.9,clear sky
90,Port Hardy,CA,50.6996,-127.4199,59.18,77,75,11.5,broken clouds
91,Caluquembe,AO,-13.7833,14.6833,57.81,35,2,1.5,clear sky
92,Cabo San Lucas,MX,22.8909,-109.9124,92.5,48,0,10.36,clear sky
93,New Norfolk,AU,-42.7826,147.0587,42.93,85,81,1.01,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,54.07,82,0,10.63,clear sky
95,Matay,EG,28.419,30.7792,82.98,46,0,22.24,clear sky
96,Hobart,AU,-42.8794,147.3294,43.27,85,40,6.91,scattered clouds
97,Muroto,JP,33.2833,134.15,78.49,85,100,3.91,overcast clouds
98,Jiwani,PK,25.05,61.7417,83.32,88,38,6.04,scattered clouds
99,Tautira,PF,-17.7333,-149.15,75.56,82,39,15.05,moderate rain
100,Abha,SA,18.2164,42.5053,67.82,77,20,8.05,few clouds
101,San Marcos,US,33.1434,-117.1661,89.98,63,0,11.5,clear sky
102,Ahuimanu,US,21.4447,-157.8378,83.34,69,0,12.66,clear sky
103,Yumen,CN,40.2833,97.2,74.5,17,63,13.94,broken clouds
104,Mount Gambier,AU,-37.8333,140.7667,40.98,90,8,3.65,clear sky
105,Castro,BR,-24.7911,-50.0119,58.78,68,2,2.35,clear sky
106,Bilibino,RU,68.0546,166.4372,65.59,66,11,10.8,few clouds
